Draw No,Draw Date,Winning No,Additional No
4013,30/9/2024,"4,33,34,38,40,43",15
4012,26/9/2024,"17,23,26,31,38,40",14
4011,23/9/2024,"9,20,22,32,37,47",1
4010,19/9/2024,"7,13,17,22,31,37",1
4009,16/9/2024,"2,8,15,19,33,38",21
4008,12/9/2024,"5,6,14,36,45,49",12
4007,9/9/2024,"1,4,10,16,18,29",6
4006,5/9/2024,"1,13,27,38,40,43",2
4005,2/9/2024,"6,7,13,30,37,39",16
4004,29/8/2024,"3,9,10,12,27,41",29
4003,26/8/2024,"6,8,18,34,35,37",33
4002,22/8/2024,"2,5,8,43,45,48",41
4001,19/8/2024,"2,3,16,26,29,41",12
4000,15/8/2024,"15,24,35,36,42,46",48
3999,12/8/2024,"2,8,27,33,34,43",11
3998,8/8/2024,"23,26,32,36,41,49",31
3997,5/8/2024,"1,12,15,30,42,43",22
3996,2/8/2024,"14,16,22,23,36,42",21
3995,29/7/2024,"19,24,29,30,31,46",28
3994,25/7/2024,"14,21,34,35,43,49",33
3993,22/7/2024,"4,9,12,15,37,47",44
3992,18/7/2024,"8,10,11,12,14,20",38
3991,15/7/2024,"4,6,17,32,37,41",10
3990,11/7/2024,"15,17,22,32,34,40",6
3989,8/7/2024,"15,18,29,34,38,44",35
3988,4/7/2024,"4,9,12,15,31,44",33
3987,1/7/2024,"11,19,21,26,28,33",39
3986,27/6/2024,"1,8,11,14,17,30",5
3985,24/6/2024,"20,23,28,30,34,49",25
3984,20/6/2024,"3,12,14,16,17,30",27
3983,17/6/2024,"8,10,12,16,17,30",19
3982,13/6/2024,"4,7,10,17,30,41",21
3981,10/6/2024,"1,10,13,23,31,34",43
3980,6/6/2024,"4,5,10,14,35,43",12
3979,3/6/2024,"1,28,30,32,33,39",11
3978,30/5/2024,"6,9,11,17,28,45",21
3977,27/5/2024,"14,23,28,34,41,48",17
3976,23/5/2024,"3,4,22,27,39,43",6
3975,20/5/2024,"7,10,32,33,39,48",37
3974,16/5/2024,"2,12,15,28,35,48",24
3973,13/5/2024,"2,16,17,22,24,49",42
3972,9/5/2024,"9,15,20,26,43,49",36
3971,6/5/2024,"1,5,9,31,33,37",36
3970,2/5/2024,"4,5,31,37,43,46",7
3969,29/4/2024,"2,7,12,31,36,45",30
3968,25/4/2024,"5,9,11,18,28,36",35
3967,22/4/2024,"6,8,11,16,33,37",23
3966,18/4/2024,"18,22,29,32,37,47",49
3965,15/4/2024,"5,10,28,36,41,42",19
3964,11/4/2024,"22,28,33,40,43,47",16
3963,8/4/2024,"12,23,24,34,43,46",42
3962,4/4/2024,"3,4,13,31,36,43",19
3961,1/4/2024,"3,12,18,19,27,41",15
3960,28/3/2024,"6,8,13,17,26,37",18
3959,25/3/2024,"4,23,25,27,28,32",21
3958,21/3/2024,"6,8,18,19,33,44",15
3957,18/3/2024,"1,4,6,15,30,48",45
3956,14/3/2024,"8,26,34,35,45,46",36
3955,11/3/2024,"5,9,30,37,40,49",33
3954,7/3/2024,"5,11,15,20,31,47",44
3953,4/3/2024,"13,17,25,27,28,44",3
3952,29/2/2024,"1,14,28,44,45,49",16
3951,26/2/2024,"2,8,14,27,39,42",10
3950,23/2/2024,"18,21,26,35,38,43",40
3949,19/2/2024,"1,10,21,29,35,42",27
3948,15/2/2024,"15,18,22,35,41,48",5
3947,12/2/2024,"9,16,20,25,31,39",41
3946,8/2/2024,"6,16,21,27,31,37",49
3945,5/2/2024,"14,17,20,25,28,37",13
3944,2/2/2024,"2,27,29,36,44,48",12
3943,29/1/2024,"20,22,24,28,40,49",27
3942,25/1/2024,"10,18,44,45,48,49",20
3941,22/1/2024,"1,3,8,13,40,48",6
3940,18/1/2024,"5,28,30,37,38,41",43
3939,15/1/2024,"24,25,26,28,30,35",4
3938,11/1/2024,"2,9,10,43,45,46",13
3937,8/1/2024,"11,20,28,30,36,38",37
3936,5/1/2024,"7,12,17,20,31,35",22
3935,1/1/2024,"8,16,23,24,36,48",5
3934,28/12/2023,"13,17,18,24,37,41",15
3933,25/12/2023,"11,12,19,23,25,41",47
3932,21/12/2023,"7,8,24,25,29,40",18
3931,18/12/2023,"12,15,16,23,24,38",44
3930,14/12/2023,"22,32,34,39,40,42",5
3929,11/12/2023,"9,12,21,22,44,47",31
3928,7/12/2023,"10,16,25,29,42,44",48
3927,4/12/2023,"6,18,26,31,37,38",22
3926,30/11/2023,"3,32,34,38,41,42",17
3925,27/11/2023,"16,19,20,26,33,40",23
3924,23/11/2023,"2,24,30,37,43,45",35
3923,20/11/2023,"12,13,18,22,25,28",47
3922,16/11/2023,"10,13,15,28,29,37",22
3921,13/11/2023,"6,10,16,24,27,43",31
3920,9/11/2023,"2,3,11,17,35,40",45
3919,6/11/2023,"11,20,22,28,32,37",4
3918,2/11/2023,"3,12,22,29,35,42",49
3917,30/10/2023,"12,24,26,32,34,38",28
3916,26/10/2023,"1,6,17,19,34,45",48
3915,23/10/2023,"2,3,13,15,34,37",8
3914,19/10/2023,"1,7,16,20,35,41",6
3913,16/10/2023,"21,27,30,38,40,44",6
3912,12/10/2023,"14,15,26,35,44,46",43
3911,9/10/2023,"1,5,9,25,44,49",43
3910,5/10/2023,"4,7,9,38,41,42",16
3909,2/10/2023,"2,10,12,13,45,48",11
3908,28/9/2023,"3,13,23,28,37,38",9
3907,25/9/2023,"3,14,19,23,28,43",25
3906,21/9/2023,"2,8,28,31,48,49",37
3905,18/9/2023,"4,7,27,32,37,49",44
3904,14/9/2023,"14,18,24,26,37,45",28
3903,11/9/2023,"1,20,21,27,38,48",17
3902,7/9/2023,"17,19,24,26,31,46",37
3901,4/9/2023,"1,4,12,33,45,48",35
3900,31/8/2023,"14,29,31,39,40,48",47
3899,28/8/2023,"1,3,7,12,15,32",34
3898,24/8/2023,"1,13,26,34,37,41",9
3897,21/8/2023,"1,18,21,28,31,41",11
3896,17/8/2023,"4,8,32,33,45,47",12
3895,14/8/2023,"5,22,31,32,41,49",14
3894,10/8/2023,"3,6,16,29,37,45",12
3893,7/8/2023,"5,15,18,31,41,49",16
3892,4/8/2023,"19,25,27,28,29,48",34
3891,31/7/2023,"2,23,29,35,39,45",6
3890,27/7/2023,"8,10,21,27,34,36",2
3889,24/7/2023,"1,5,18,20,38,44",45
3888,20/7/2023,"10,20,26,39,44,46",3
3887,17/7/2023,"18,25,27,32,35,39",48
3886,13/7/2023,"4,12,14,20,21,22",10
3885,10/7/2023,"2,8,30,33,39,41",24
